framework_id,name,also_known_as,jurisdiction,region,category,type,issuing_body,official_url,source_note,who_must_comply,scope_summary,key_obligations_summary,mandatory_vs_voluntary,certification_or_audit_required,typical_evidence_artifacts,renewal_or_reassessment_cadence,penalties_summary,overlaps_with,subordinate_controls_notes,last_verified_date,research_source_urls
ear,Export Administration Regulations,EAR; 15 CFR Parts 730-774; dual-use export controls,United States - Federal,US,industry,regulation,US Bureau of Industry and Security,https://www.ecfr.gov/current/title-15/subtitle-B/chapter-VII/subchapter-C,"Dual-use export controls affecting encryption, cloud access, and technology transfer; official eCFR text administered by BIS","U.S. and, through extraterritorial rules, some non-U.S. companies exporting or transferring commercial and dual-use items, software and technology.","Applies to items subject to the EAR, including those on the Commerce Control List and EAR99 items, and to deemed exports of technology to foreign nationals.","Requires classification of items, determination of license requirements by country, end user and end use, screening against restricted party lists, and recordkeeping. Encryption software has specific classification and reporting rules. License exceptions may apply but must be documented.",mandatory,no,item classification (ECCN) records|license determinations|restricted party screening logs|export records|encryption self-classification reports|compliance manual,continuous; periodic program review recommended,"Administrative monetary penalties per violation, denial of export privileges, and criminal penalties for willful violations.",itar|cmmc,Organized by Commerce Control List categories and product groups with country charts and license exceptions.,2026-08-20,https://www.bis.doc.gov/index.php/regulations/export-administration-regulations-ear|https://www.ecfr.gov/current/title-15/subtitle-B/chapter-VII/subchapter-C
section-508,Section 508 of the Rehabilitation Act,Section 508; Revised 508 Standards,United States - Federal,US,industry,regulation,US Access Board; GSA,https://www.section508.gov/,Accessibility requirements for US federal ICT procurement; incorporates WCAG success criteria,"U.S. federal agencies and, in practice, vendors selling information and communication technology to them.","Covers ICT developed, procured, maintained or used by federal agencies, including software, websites, documents and hardware.","Requires ICT to conform to the Revised 508 Standards, which incorporate WCAG 2.0 Level A and AA success criteria for web and non-web content plus hardware and support documentation requirements. Vendors typically document conformance in an Accessibility Conformance Report based on the VPAT template. Agencies must assess and report on accessibility, and procurement can be challenged for non-conforming ICT.",mandatory,no,Accessibility Conformance Report (VPAT)|automated and manual test results|remediation roadmap|accessibility policy|training records,reassessed per release and at procurement; agency reporting is periodic,No direct fine; consequences include lost or challenged federal awards and administrative complaints or civil actions under the Rehabilitation Act.,ada|wcag|eu-accessibility-act,"Revised 508 Standards adopt WCAG 2.0 A and AA success criteria along with functional performance criteria and hardware, software and support documentation chapters.",2026-08-20,https://www.section508.gov/|https://www.access-board.gov/ict/
ada,Americans with Disabilities Act,ADA; ADA Title II web accessibility rule,United States,US,industry,law,US Department of Justice,https://www.ada.gov/,Civil rights statute driving digital accessibility obligations and litigation risk for public accommodations,"Places of public accommodation under Title III, employers under Title I, and state and local governments and their vendors under Title II.","Covers discrimination on the basis of disability, applied by courts and DOJ rulemaking to websites, mobile apps and other digital services.","Requires that goods, services and programs be accessible to people with disabilities, including effective communication and reasonable modifications. The 2024 Title II rule requires state and local government web content and mobile apps to conform to WCAG 2.1 Level AA, with compliance dates in 2026 and 2027 depending on entity size. For private businesses under Title III there is no codified technical standard, so WCAG conformance is the prevailing benchmark used in litigation and settlements.",mandatory,no,accessibility policy|Accessibility Conformance Report (VPAT)|audit and remediation records|user testing results|training records|barrier removal plan,continuous; audits commonly annual and per major release,"Private plaintiffs may obtain injunctive relief and attorney fees, and some state laws add damages; DOJ civil penalties for Title III violations are set by regulation and adjusted for inflation, exceeding 100,000 US dollars for subsequent violations.",wcag|section-508|eu-accessibility-act,"No control families; digital conformance is evaluated against WCAG success criteria, with the Title II rule specifying WCAG 2.1 Level AA.",2026-08-20,https://www.ada.gov/|https://www.ada.gov/resources/2024-03-08-web-rule/
wcag,Web Content Accessibility Guidelines,WCAG; WCAG 2.1; WCAG 2.2,Global,Global,industry,standard,W3C Web Accessibility Initiative,https://www.w3.org/TR/WCAG22/,"Technical accessibility success criteria referenced by ADA, Section 508, EN 301 549, and the EU Accessibility Act","Any organization producing web or digital content, especially those subject to ADA, Section 508, EN 301 549 or the European Accessibility Act.","Covers web content, including web applications, documents and, through WCAG2ICT guidance, non-web software and content.","Organizes accessibility requirements under the perceivable, operable, understandable and robust principles, with testable success criteria at conformance levels A, AA and AAA. Level AA is the common regulatory and contractual benchmark. Conformance is self-declared or evaluated by specialists, since there is no certification body.",voluntary,no,Accessibility Conformance Report (VPAT)|automated scan results|manual and assistive technology test results|remediation backlog|design system accessibility documentation,per release; full audits commonly annual,No penalty in itself; non-conformance drives liability under accessibility laws that reference it.,ada|section-508|eu-accessibility-act,"Four principles, thirteen guidelines and success criteria graded at levels A, AA and AAA; WCAG 2.2 adds criteria to WCAG 2.1.",2026-08-20,https://www.w3.org/TR/WCAG22/|https://www.w3.org/WAI/standards-guidelines/wcag/
uk-g-cloud,UK G-Cloud Framework,Digital Marketplace G-Cloud; Crown Commercial Service G-Cloud,United Kingdom,UK,industry,framework,UK Crown Commercial Service,https://www.crowncommercial.gov.uk/agreements/RM1557.14,"UK public sector cloud procurement framework (agreement RM1557.14, G-Cloud 14) with supplier assurance and terms obligations","Suppliers selling cloud hosting, software or support to UK public-sector buyers through the Crown Commercial Service framework.","Covers services listed on the framework and the associated framework and call-off contract terms, not a security control set.","Suppliers apply during a framework iteration, submit service definitions, pricing and terms, and must keep listings accurate. Call-off contracts impose obligations that commonly include security, data protection, transparency and exit assistance, and buyers frequently require Cyber Essentials or equivalent assurance. Listings are only valid for the framework term, so re-application is needed for successor iterations.",contractual,no,service definition documents|pricing documents|framework agreement|call-off contract|security questionnaire responses|Cyber Essentials certificate,"per framework iteration, historically about every 12 to 18 months",No statutory fine; removal from the framework or contract termination ends public-sector sales through that route.,cyber-essentials|uk-gdpr-dpa2018|iso27001,Not a control framework; obligations flow from framework and call-off terms plus buyer-specific assurance requirements.,2026-08-20,https://www.gov.uk/guidance/g-cloud-suppliers-guide|https://www.crowncommercial.gov.uk/agreements/RM1557.14
cyber-essentials,Cyber Essentials,Cyber Essentials Plus; CE; CE+,United Kingdom,UK,security,certification,UK National Cyber Security Centre,https://www.ncsc.gov.uk/cyberessentials/overview,UK government-backed baseline cyber certification; Plus adds hands-on technical verification,"Vendors selling to UK government and to UK private buyers that require the scheme, including many public-sector tenders.","Covers internet-facing infrastructure, devices, software and user accounts within the declared organizational scope.","Requires implementation of five technical control themes: firewalls, secure configuration, security update management, user access control and malware protection. Basic certification is a verified self-assessment; Cyber Essentials Plus adds hands-on technical verification by an assessor. Certification is valid for twelve months.",mixed,yes,self-assessment questionnaire|asset and software inventory|patch evidence|MFA configuration|certificate,annual,No statutory fine; expired or missing certification can disqualify suppliers from UK tenders that mandate it.,cis-controls|iso27001|soc2,Five control themes; two levels (Cyber Essentials and Cyber Essentials Plus) with the Plus level independently tested.,2026-08-20,https://www.ncsc.gov.uk/cyberessentials/overview|https://iasme.co.uk/cyber-essentials/
irap,Infosec Registered Assessors Program,IRAP; ASD IRAP assessment,Australia,APAC,security,attestation,Australian Signals Directorate,https://www.cyber.gov.au/business-government/protecting-devices-systems/assessment-evaluation-programs/irap,ASD-endorsed independent security assessment against the Australian Information Security Manual,Vendors and cloud providers seeking to handle Australian government information.,Covers the system or service assessed against the Australian Government Information Security Manual controls at the relevant classification level.,"An IRAP-endorsed assessor evaluates the system against the ISM controls and produces a security assessment report; the government entity then makes its own risk-based authorization decision. IRAP is an assessment process, not a certification issued by the ASD. Scope and classification level determine applicable controls.",mixed,yes,system security plan|ISM control matrix|IRAP assessment report|risk management plan|POA&M,typically every 24 months or on significant change,No direct fine; agencies may decline to use unassessed services.,essential-eight|iso27001|fedramp,"Controls come from the Australian Government Information Security Manual, with Essential Eight maturity levels frequently assessed alongside.",2026-08-20,https://www.cyber.gov.au/resources-business-and-government/assessment-and-evaluation-programs/irap|https://www.cyber.gov.au/resources-business-and-government/essential-cyber-security/ism
essential-eight,ACSC Essential Eight,Essential Eight Maturity Model; E8,Australia,APAC,security,framework,Australian Signals Directorate,https://www.cyber.gov.au/resources-business-and-government/essential-cyber-security/essential-eight,Prioritized mitigation strategies and maturity model used across Australian government and industry,"Australian organizations, including government suppliers, expected to demonstrate baseline cyber mitigation maturity.",Applies to the organization's internet-connected IT environment; maturity levels scale with threat sophistication.,"Defines eight mitigation strategies including application control, patching applications and operating systems, configuring macro settings, user application hardening, restricting administrative privileges, multi-factor authentication and regular backups. Maturity Levels One to Three describe increasing rigor. Non-corporate Commonwealth entities are directed to implement it, and it is widely used commercially as a baseline.",mixed,sometimes,maturity assessment|patch records|application control configuration|MFA configuration|backup test records,annual assessment commonly expected,No direct fine for private entities; government entities face compliance reporting and directive obligations.,irap|cis-controls|cyber-essentials,"Eight mitigation strategies assessed against Maturity Levels One, Two and Three.",2026-08-20,https://www.cyber.gov.au/resources-business-and-government/essential-cyber-security/essential-eight|https://www.cyber.gov.au/resources-business-and-government/essential-cyber-security/essential-eight/essential-eight-maturity-model
bsi-c5,BSI Cloud Computing Compliance Criteria Catalogue,C5; C5:2020; Kriterienkatalog Cloud Computing,Germany,EU,security,attestation,German Federal Office for Information Security (BSI),https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/CloudComputing/ComplianceControlsCatalogue/2020/C5_2020.html,German government cloud criteria catalogue audited via ISAE 3000 type attestation reports,"Cloud service providers selling into German and DACH markets, especially to public sector and regulated customers.",Covers the cloud service in scope against the BSI Cloud Computing Compliance Criteria Catalogue.,"Providers are assessed by an auditor against the C5 criteria and receive an attestation report based on ISAE 3000 style engagements, issued as Type 1 or Type 2. The catalogue includes basic and additional criteria plus mandatory environmental disclosures about jurisdiction and data location. German federal customers frequently require C5 attestation.",mixed,yes,C5 attestation report|system description|control matrix|environmental disclosures|penetration test report,annual,No statutory fine for private providers; absence commonly blocks German public-sector and regulated procurement.,iso27001|soc2|csa-star|nis2,"Criteria organized into control domains with basic and additional criteria, plus supplementary environmental information requirements.",2026-08-20,https://www.bsi.bund.de/EN/Themen/Unternehmen-und-Organisationen/Informationen-und-Empfehlungen/Empfehlungen-nach-Angriffszielen/Cloud-Computing/Kriterienkatalog-C5/kriterienkatalog-c5_node.html|https://www.bsi.bund.de/EN/Home/home_node.html
ens-spain,Esquema Nacional de Seguridad,ENS; Spanish National Security Framework; Real Decreto 311/2022,Spain,EU,security,certification,Centro Criptologico Nacional (CCN),https://ens.ccn.cni.es/es/,Mandatory Spanish security framework for public administrations and their private-sector suppliers,Spanish public sector entities and private-sector suppliers providing services or systems to them.,"Covers information systems used to provide services to Spanish public administrations, categorized as basic, medium or high.","Requires system categorization, a risk analysis, a declaration or certification of conformity, and implementation of the security measures in Annex II appropriate to the category. Basic-category systems may use a self-declaration, while medium and high categories require certification by an accredited conformity assessment entity. Conformity must be published and maintained.",mandatory,yes,system categorization|risk analysis|security policy|Statement of Applicability|conformity declaration or certificate|continuous improvement records,certification is typically valid for 2 years with periodic audit,"No general fine schedule for suppliers; without conformity, public-sector contracts and system operation are blocked, and public bodies face administrative consequences.",iso27001|nis2|bsi-c5,"Security measures in Annex II grouped into organizational, operational and protection measures, scaled by basic, medium and high categories.",2026-08-20,https://ens.ccn.cni.es/es/|https://www.boe.es/eli/es/rd/2022/05/03/311
ismap,ISMAP,Information system Security Management and Assessment Program,Japan,APAC,security,certification,"ISMAP Steering Committee (Digital Agency, METI, MIC)",https://www.ismap.go.jp/csm,Japanese government cloud service security assessment and registration program,Cloud service providers seeking to sell cloud services to Japanese government agencies.,"Covers the registered cloud service and its management, operational and technical controls, with a separate lighter track for low-risk services.","Providers implement the ISMAP control criteria, undergo an audit by an ISMAP-registered auditing firm, and apply for registration on the ISMAP cloud service list maintained by the steering committee. Government procurement is generally limited to registered services. Registration must be renewed through periodic audits and updated for significant changes.",mandatory,yes,control implementation documentation|internal audit records|external audit report|application and registration records|risk assessment,annual audit and renewal,"No civil fine; without registration, Japanese government procurement is generally not available.",iso27001|fedramp|k-isms-p,"Control criteria derived from ISO/IEC 27001, 27002, 27017 and NIST SP 800-53, split into governance, management and operational and technical controls, with an ISMAP-LIU track for low-impact services.",2026-08-20,https://www.ismap.go.jp/csm|https://www.ismap.go.jp/csm?id=kb_article_view&sysparm_article=KB0010005
k-isms-p,ISMS-P (Korea),K-ISMS; K-ISMS-P; Personal Information and Information Security Management System,South Korea,APAC,security,certification,Korea Internet & Security Agency (KISA),https://www.kisa.or.kr/1050602,"Korean statutory certification for information security and personal information management systems, operated by KISA","Korean information and communications service providers meeting statutory thresholds, plus organizations voluntarily certifying, including foreign providers serving Korea.","Covers the certified management system scope, either ISMS for information security or ISMS-P which adds personal information protection.","Requires implementation of management system requirements and control items, an internal review, and certification audit by an authorized certification body under KISA and the PIPC. Certain service providers are legally required to obtain ISMS certification based on revenue and user thresholds. Certificates are valid for three years with annual follow-up audits.",mixed,yes,management system documentation|risk assessment|control implementation evidence|internal review records|certification audit report|certificate,every 3 years with annual follow-up audits,"Fines of up to 30 million Korean won for failing to obtain mandatory ISMS certification, alongside separate PIPA penalties for privacy violations.",pipa-korea|iso27001|ismap,Management system requirements plus control items in ISMS and additional personal information lifecycle controls in the ISMS-P scope.,2026-08-20,https://isms.kisa.or.kr/main/|https://www.pipc.go.kr/eng/
mtcs-sg,Multi-Tier Cloud Security Singapore Standard,MTCS; SS 584; SS 584:2020,Singapore,APAC,security,certification,Infocomm Media Development Authority; Singapore Standards Council,https://www.imda.gov.sg/-/media/imda/files/industry-development/enterprises/mtcs/factsheet.pdf,Three-tier cloud security certification required for Singapore government public cloud bulk tenders; official IMDA factsheet,"Cloud service providers serving Singapore government and regulated customers, particularly for bulk tender eligibility.","Covers the cloud service and supporting infrastructure certified at Level 1, 2 or 3 according to data sensitivity and business impact.",Providers implement the SS 584 controls for the target tier and are certified by an accredited certification body. Level 3 is aimed at regulated and high-impact workloads and includes the most extensive control set. Certification is accompanied by a self-disclosure schedule that customers use for due diligence.,mixed,yes,control implementation documentation|self-disclosure schedule|certification audit report|certificate|risk assessment,every 3 years with annual surveillance audits,No statutory fine; missing certification can exclude providers from Singapore government cloud tenders.,iso27001|pdpa-singapore|csa-star,"Controls organized by domain across three cumulative tiers, with Level 3 adding the strictest requirements.",2026-08-20,https://www.imda.gov.sg/-/media/imda/files/industry-development/enterprises/mtcs/factsheet.pdf|https://www.imda.gov.sg/
tisax,TISAX,Trusted Information Security Assessment Exchange; VDA ISA,Global,EU,security,certification,ENX Association,https://www.enx.com/en-US/TISAX/,Automotive-sector information security assessment and result-exchange mechanism based on the VDA ISA catalogue,"Suppliers and service providers in the automotive industry supply chain, including software vendors serving OEMs.",Covers the sites and services in the declared assessment scope against the VDA ISA catalogue at the required assessment level.,"Participants perform a VDA ISA self-assessment, undergo an audit by an accredited provider at the required assessment level, and share results through the ENX exchange rather than receiving a public certificate. Assessment objectives cover information security, prototype protection and data protection depending on scope. Labels are typically valid for three years.",contractual,yes,VDA ISA self-assessment|assessment report|TISAX labels|policies|prototype protection controls,every 3 years,No statutory fine; missing labels typically block automotive supplier onboarding and contracts.,iso27001|gdpr|soc2,"Based on the VDA Information Security Assessment catalogue with assessment levels AL 1 to AL 3 and modules for information security, prototype protection and data protection.",2026-08-20,https://portal.enx.com/en-US/TISAX/|https://www.vda.de/en/topics/digitalisation/data/information-security
coppa,Children's Online Privacy Protection Rule,COPPA; COPPA Rule; 16 CFR Part 312,United States,US,privacy,regulation,US Federal Trade Commission,https://www.ftc.gov/legal-library/browse/rules/childrens-online-privacy-protection-rule-coppa,Parental consent and data handling requirements for online services directed to children under 13,"Operators of websites, apps and online services directed to children under 13, and operators with actual knowledge that they collect personal information from children under 13.","Applies to online collection, use and disclosure of personal information from children under 13, including through third-party services integrated into child-directed properties.","Requires a clear online privacy notice, direct notice and verifiable parental consent before collecting personal information from children, and a means for parents to review or delete data and revoke consent. Operators must limit collection to what is reasonably necessary, retain data only as long as needed, and maintain reasonable security including vendor assurances. The amended COPPA Rule adds requirements such as a written children's data security program and separate consent for third-party disclosures including targeted advertising.",mandatory,no,child-directed determination|privacy notice|parental consent records|data retention policy|vendor agreements|security program documentation|deletion request logs,continuous; retention and security program reviewed at least annually,"FTC civil penalties of up to the statutory maximum per violation, adjusted annually for inflation and currently over 50,000 US dollars per violation, plus injunctive relief.",ferpa|ccpa-cpra|gdpr,"Rule sections cover notice, parental consent, parental rights, confidentiality and security, and safe harbor programs.",2026-08-20,https://www.ftc.gov/legal-library/browse/rules/childrens-online-privacy-protection-rule-coppa|https://www.ecfr.gov/current/title-16/chapter-I/subchapter-C/part-312
ferpa,Family Educational Rights and Privacy Act,FERPA; 34 CFR Part 99,United States,US,privacy,law,US Department of Education,https://studentprivacy.ed.gov/ferpa,Student education records privacy law flowing down to school-service vendors under the school official exception,"U.S. educational agencies and institutions receiving Department of Education funding, and vendors acting as school officials under their direct control.",Applies to education records containing personally identifiable information about students held by covered schools and their designated school officials.,"Requires parental or eligible-student consent before disclosing personally identifiable information from education records, unless an exception such as the school official exception applies. Vendors relying on that exception must use the data only for authorized purposes, remain under the school's direct control and not redisclose without authorization. Schools must provide annual notification of rights and allow inspection, review and amendment requests.",mandatory,no,district data privacy agreement|annual notification of rights|data use limitations documentation|subprocessor list|deletion and return procedures|training records,continuous; contracts and notices reviewed annually,"No monetary fine; the Department of Education may require corrective action and can ultimately withhold federal funding, and vendors may face a five-year prohibition on access after certain violations.",coppa|hipaa|ccpa-cpra,Obligations are structured by disclosure exceptions and recordkeeping duties in 34 CFR Part 99 rather than technical control families.,2026-08-20,https://studentprivacy.ed.gov/ferpa|https://www.ecfr.gov/current/title-34/subtitle-A/part-99
can-spam,CAN-SPAM Act,CAN-SPAM Rule; 16 CFR Part 316,United States,US,privacy,law,US Federal Trade Commission,https://www.ftc.gov/business-guidance/resources/can-spam-act-compliance-guide-business,"Commercial email requirements covering headers, unsubscribe, physical address, and deceptive content","Any organization sending commercial email messages that promote a product or service to U.S. recipients, including B2B senders.","Applies to commercial electronic mail messages, with lighter rules for transactional or relationship messages, regardless of whether the list is opt-in.","Requires accurate header and sender information, non-deceptive subject lines, identification of the message as an advertisement where applicable, a valid physical postal address, and a clear opt-out mechanism. Opt-out requests must be honored within ten business days and the mechanism must remain functional for at least 30 days after sending. Senders remain responsible for compliance by affiliates and agents acting on their behalf.",mandatory,no,email templates with identification and address|unsubscribe workflow evidence|suppression list|sending policy|affiliate and vendor agreements,continuous,"FTC civil penalties of up to the statutory maximum per non-compliant email, adjusted annually for inflation and currently over 50,000 US dollars per email, with aggravated violations subject to additional liability.",casl|tcpa|uk-pecr,"Requirements are organized around header accuracy, identification, opt-out and physical address rather than control families.",2026-08-20,https://www.ftc.gov/business-guidance/resources/can-spam-act-compliance-guide-business|https://www.ecfr.gov/current/title-16/chapter-I/subchapter-C/part-316
tcpa,Telephone Consumer Protection Act,TCPA; 47 CFR 64.1200; robocall and SMS consent rules,United States,US,privacy,law,US Federal Communications Commission,https://www.fcc.gov/general/telemarketing-and-robocalls,"Consent requirements for calls, texts, and faxes; significant private-right-of-action exposure","Any business placing calls or sending text messages or faxes to U.S. numbers, including SaaS platforms enabling such messaging on customers' behalf.","Applies to calls and texts using an automatic telephone dialing system or artificial or prerecorded voice, telemarketing to residential and wireless numbers, and unsolicited fax advertisements.","Requires prior express consent for many automated calls and texts, and prior express written consent for marketing calls and texts to wireless numbers and for artificial or prerecorded telemarketing calls. Callers must honor do-not-call requests, screen against the National Do Not Call Registry for telemarketing, provide identification and an opt-out mechanism, and observe calling-time restrictions. FCC rules also require revocation of consent to be honored promptly, generally within ten business days.",mandatory,no,consent capture records|do-not-call and revocation logs|calling scripts and disclosures|vendor agreements|complaint handling records,continuous,"Statutory damages of 500 US dollars per violation, trebled up to 1,500 US dollars for willful or knowing violations, with an active private right of action and class-action exposure, plus FCC forfeitures.",can-spam|casl,"Obligations derive from the statute and FCC rules in 47 CFR 64.1200 covering consent, identification and do-not-call requirements.",2026-08-20,https://www.fcc.gov/general/telemarketing-and-robocalls|https://www.ecfr.gov/current/title-47/chapter-I/subchapter-B/part-64/subpart-L
fcra,Fair Credit Reporting Act,FCRA; 15 U.S.C. 1681,United States,US,privacy,law,US Federal Trade Commission; CFPB,https://www.ftc.gov/legal-library/browse/statutes/fair-credit-reporting-act,"Governs consumer reports, background screening, and furnisher obligations","Consumer reporting agencies, users of consumer reports such as employers and lenders, and furnishers of information to consumer reporting agencies.","Applies to consumer reports used for credit, employment, insurance, tenancy and other permissible purposes, including background screening and some data analytics products.","Requires permissible purpose for obtaining consumer reports, disclosure and written authorization for employment screening, and pre-adverse and adverse action notices with a copy of the report and summary of rights. Consumer reporting agencies must follow reasonable procedures to assure maximum possible accuracy, investigate disputes and honor consumer file access rights. Furnishers must provide accurate information and investigate disputed items.",mandatory,no,permissible purpose certifications|disclosure and authorization forms|adverse action notice templates|dispute handling records|accuracy procedures|vendor agreements,continuous; policies reviewed periodically,"Statutory damages of 100 to 1,000 US dollars per willful violation plus punitive damages and attorney fees, actual damages for negligent violations, and FTC or CFPB civil penalties.",glba-safeguards|ccpa-cpra,"Obligations are organized by role: consumer reporting agency, user of reports and furnisher of information.",2026-08-20,https://www.ftc.gov/legal-library/browse/statutes/fair-credit-reporting-act|https://www.consumerfinance.gov/rules-policy/regulations/1022/
bipa,Illinois Biometric Information Privacy Act,BIPA; 740 ILCS 14,United States - Illinois,US-State,privacy,law,Illinois General Assembly,https://www.ilga.gov/Legislation/ILCS/Articles?ActID=3004&ChapterID=57,"Biometric consent, retention, and disclosure statute with a private right of action","Private entities that collect or possess biometric identifiers or biometric information from individuals in Illinois, including employers using biometric timekeeping.","Applies to biometric identifiers such as fingerprints, voiceprints, retina or iris scans and face geometry, and to biometric information derived from them.","Requires a written, publicly available retention and destruction policy, informed written consent before collection, and a prohibition on selling or profiting from biometric data. Disclosure to third parties generally requires consent, and entities must store biometric data using the reasonable standard of care applicable to their industry. Illinois amended the statute in 2024 so that repeated collections of the same biometric from the same person generally give rise to a single violation.",mandatory,no,written release and consent records|retention and destruction schedule|public biometric policy|vendor agreements|deletion evidence|security documentation,continuous; destruction when purpose is satisfied or within three years of last interaction,"Statutory damages of 1,000 US dollars per negligent violation and 5,000 US dollars per intentional or reckless violation, or actual damages if greater, with a private right of action and attorney fees.",ccpa-cpra|wa-my-health-my-data|il-ai-video-interview,"Obligations center on notice, written consent, retention policy, prohibition on sale and security standards.",2026-08-20,https://www.ilga.gov/legislation/ilcs/ilcs3.asp?ActID=3004&ChapterID=57|https://www.illinoisattorneygeneral.gov/
wa-my-health-my-data,Washington My Health My Data Act,MHMD; My Health My Data,United States - Washington,US-State,privacy,law,Washington State Legislature; Washington Attorney General,https://app.leg.wa.gov/RCW/default.aspx?cite=19.373,"Consumer health data law codified at RCW chapter 19.373, with consent and authorization requirements plus a private right of action","Legal entities that conduct business in Washington or target Washington consumers and that collect, process, share or sell consumer health data, excluding HIPAA-covered data and government agencies.","Applies to consumer health data, defined broadly to include information that identifies a consumer's past, present or future physical or mental health status, including inferences and precise location near health facilities.","Requires a separate consumer health data privacy policy, opt-in consent for collection and sharing beyond what is necessary for a requested product or service, and separate valid authorization to sell such data. Consumers have rights to confirm, access, withdraw consent and delete their health data, including deletion by downstream recipients. Geofencing around in-person health service locations for advertising or data collection is prohibited.",mandatory,no,consumer health data privacy policy|consent and authorization records|deletion request workflow|data inventory|vendor and processor contracts|geofencing controls,continuous,"Enforced as a Consumer Protection Act violation by the Attorney General, with a private right of action; CPA civil penalties reach up to 7,500 US dollars per violation.",bipa|ccpa-cpra|hipaa,"Obligations are organized around notice, consent, authorization for sale, consumer rights and the geofencing prohibition.",2026-08-20,https://www.atg.wa.gov/my-health-my-data-act|https://app.leg.wa.gov/rcw/default.aspx?cite=19.373
nyc-ll144,NYC Local Law 144,NYC AEDT Law; automated employment decision tools bias audit,United States - New York City,US-State,ai,law,NYC Department of Consumer and Worker Protection,https://www.nyc.gov/site/dca/about/automated-employment-decision-tools.page,Requires annual independent bias audits and candidate notice for automated employment decision tools,Employers and employment agencies using automated employment decision tools for hiring or promotion decisions concerning candidates and employees in New York City.,Covers automated employment decision tools used to substantially assist or replace discretionary decisions for NYC-based positions.,"Requires an independent bias audit within one year before use, calculating selection or scoring rates and impact ratios by sex and race or ethnicity categories, with a public summary of results posted on the employer's website. Candidates and employees must receive at least ten business days' notice before use, including the job qualifications and characteristics assessed. Enforcement is by the Department of Consumer and Worker Protection.",mandatory,yes,independent bias audit report|published audit summary|candidate notices|tool inventory|vendor documentation and data|record retention,annual bias audit,"Civil penalties of up to 500 US dollars for a first violation and 500 to 1,500 US dollars for each subsequent violation, with each day of continued non-compliant use treated as a separate violation.",il-ai-video-interview|co-admt-act|eu-ai-act,"No control families; obligations center on the bias audit methodology, publication and candidate notice.",2026-08-20,https://www.nyc.gov/site/dca/about/automated-employment-decision-tools.page|https://rules.cityofnewyork.us/rule/automated-employment-decision-tools-updated/
il-ai-video-interview,Illinois Artificial Intelligence Video Interview Act,AIVIA; 820 ILCS 42,United States - Illinois,US-State,ai,law,Illinois General Assembly,https://www.ilga.gov/Legislation/ILCS/Articles?ActID=4015&ChapterID=68,"Notice, consent, and reporting duties when AI analyzes video interviews of applicants",Employers that use artificial intelligence to analyze video interviews of applicants for positions based in Illinois.,"Covers AI analysis of applicant video interviews, including the notice, consent, sharing and deletion of those recordings.","Requires notifying applicants before the interview that AI may be used, explaining how the AI works and what characteristics it evaluates, and obtaining consent. Videos may be shared only with persons whose expertise is necessary to evaluate the applicant, and must be deleted, including backups, within 30 days of an applicant's deletion request. Employers that rely solely on AI to decide who advances to in-person interviews must collect and report race and ethnicity data annually to the Illinois Department of Commerce and Economic Opportunity.",mandatory,no,applicant notice and explanation|consent records|deletion evidence|sharing logs|annual demographic report where applicable|vendor documentation,continuous; demographic reporting annual where applicable,"The Act does not specify monetary penalties; enforcement exposure arises through related Illinois employment and civil rights laws, so the specific penalty amount is unknown.",bipa|nyc-ll144|eu-ai-act,"No control families; obligations cover notice, explanation, consent, sharing limits, deletion and demographic reporting.",2026-08-20,https://www.ilga.gov/legislation/ilcs/ilcs3.asp?ActID=4015&ChapterID=68|https://dceo.illinois.gov/
ccpa-cpra,California Consumer Privacy Act as amended by CPRA,CCPA; CPRA; California Privacy Rights Act,United States - California,US-State,privacy,law,California Privacy Protection Agency; California Attorney General,https://oag.ca.gov/privacy/ccpa,"First US comprehensive state privacy law; CPRA added sensitive data, sharing opt-out, and a dedicated regulator","For-profit businesses that do business in California and meet a threshold: over 25 million US dollars in annual gross revenue, buying, selling or sharing personal information of 100,000 or more California consumers or households, or deriving 50 percent or more of annual revenue from selling or sharing personal information.","Applies to personal information of California residents, including employees, job applicants and business contacts, with entity- and data-level exemptions such as HIPAA, GLBA and FCRA data.","Requires notices at collection and a comprehensive privacy policy, and support for rights to know, delete, correct, opt out of sale or sharing, limit use of sensitive personal information and non-discrimination. Businesses must honor opt-out preference signals such as Global Privacy Control, provide a Do Not Sell or Share link where applicable, and use compliant contracts with service providers, contractors and third parties. Risk assessments, cybersecurity audits and automated decision-making rules apply under CPPA regulations on a phased timeline.",mandatory,sometimes,notice at collection|privacy policy|consumer rights request log|opt-out preference signal handling|service provider contracts|data inventory|risk assessments|cybersecurity audit records|training records,"continuous; privacy policy updated at least every 12 months, with annual cybersecurity audits phased in for in-scope businesses","Administrative or civil penalties of 2,500 US dollars per violation and 7,500 US dollars per intentional violation or violation involving a minor's data, plus a private right of action for certain data breaches with statutory damages of 100 to 750 US dollars per consumer per incident.",vcdpa|co-cpa|ctdpa|gdpr|wa-my-health-my-data,"No control families; obligations cover notices, consumer rights, opt-out signals, sensitive data limits, contracts and, under CPPA regulations, risk assessments, cybersecurity audits and automated decision-making technology.",2026-08-20,https://oag.ca.gov/privacy/ccpa|https://cppa.ca.gov/regulations/
